episode,round,investment,repay_prop,repayment,tripled_amount,investor_gain,trustee_gain
34,9,0.0,0.0,0.0,0.0,20.0,0.0
34,10,15.0,0.0,0.0,45.0,5.0,45.0
35,1,20.0,0.0,0.0,60.0,0.0,60.0
35,2,10.0,0.0,0.0,30.0,10.0,30.0
35,3,20.0,0.0,0.0,60.0,0.0,60.0
35,4,20.0,0.0,0.0,60.0,0.0,60.0
35,5,5.0,0.0,0.0,15.0,15.0,15.0
35,6,0.0,0.0,0.0,0.0,20.0,0.0
35,7,0.0,0.0,0.0,0.0,20.0,0.0
35,8,10.0,0.0,0.0,30.0,10.0,30.0
35,9,0.0,0.0,0.0,0.0,20.0,0.0
35,10,0.0,0.0,0.0,0.0,20.0,0.0
36,1,20.0,0.0,0.0,60.0,0.0,60.0
36,2,20.0,0.25,15.0,60.0,15.0,45.0
36,3,20.0,0.0,0.0,60.0,0.0,60.0
36,4,10.0,0.0,0.0,30.0,10.0,30.0
36,5,0.0,0.0,0.0,0.0,20.0,0.0
36,6,0.0,0.0,0.0,0.0,20.0,0.0
36,7,0.0,0.0,0.0,0.0,20.0,0.0
36,8,0.0,0.0,0.0,0.0,20.0,0.0
36,9,0.0,0.0,0.0,0.0,20.0,0.0
36,10,0.0,0.0,0.0,0.0,20.0,0.0
37,1,10.0,0.0,0.0,30.0,10.0,30.0
37,2,10.0,0.0,0.0,30.0,10.0,30.0
37,3,10.0,0.0,0.0,30.0,10.0,30.0
37,4,15.0,0.0,0.0,45.0,5.0,45.0
37,5,15.0,0.0,0.0,45.0,5.0,45.0
37,6,15.0,0.0,0.0,45.0,5.0,45.0
37,7,5.0,0.0,0.0,15.0,15.0,15.0
37,8,5.0,0.0,0.0,15.0,15.0,15.0
37,9,5.0,0.0,0.0,15.0,15.0,15.0
37,10,5.0,0.0,0.0,15.0,15.0,15.0
38,1,0.0,0.0,0.0,0.0,20.0,0.0
38,2,0.0,0.0,0.0,0.0,20.0,0.0
38,3,15.0,0.0,0.0,45.0,5.0,45.0
38,4,0.0,0.0,0.0,0.0,20.0,0.0
38,5,10.0,0.0,0.0,30.0,10.0,30.0
38,6,10.0,0.0,0.0,30.0,10.0,30.0
38,7,5.0,0.0,0.0,15.0,15.0,15.0
38,8,5.0,0.0,0.0,15.0,15.0,15.0
38,9,20.0,0.0,0.0,60.0,0.0,60.0
38,10,20.0,0.0,0.0,60.0,0.0,60.0
39,1,20.0,0.0,0.0,60.0,0.0,60.0
39,2,20.0,0.0,0.0,60.0,0.0,60.0
39,3,20.0,0.0,0.0,60.0,0.0,60.0
39,4,20.0,0.0,0.0,60.0,0.0,60.0
39,5,20.0,0.0,0.0,60.0,0.0,60.0
39,6,10.0,0.0,0.0,30.0,10.0,30.0
39,7,20.0,0.0,0.0,60.0,0.0,60.0
39,8,5.0,0.0,0.0,15.0,15.0,15.0
39,9,0.0,0.0,0.0,0.0,20.0,0.0
39,10,0.0,0.0,0.0,0.0,20.0,0.0
40,1,5.0,0.0,0.0,15.0,15.0,15.0
40,2,20.0,0.0,0.0,60.0,0.0,60.0
40,3,5.0,0.0,0.0,15.0,15.0,15.0
40,4,0.0,0.0,0.0,0.0,20.0,0.0
40,5,0.0,0.0,0.0,0.0,20.0,0.0
40,6,15.0,0.0,0.0,45.0,5.0,45.0
40,7,0.0,0.0,0.0,0.0,20.0,0.0
40,8,0.0,0.0,0.0,0.0,20.0,0.0
40,9,0.0,0.0,0.0,0.0,20.0,0.0
40,10,0.0,0.0,0.0,0.0,20.0,0.0
41,1,20.0,0.0,0.0,60.0,0.0,60.0
41,2,20.0,0.0,0.0,60.0,0.0,60.0
41,3,20.0,0.0,0.0,60.0,0.0,60.0
41,4,20.0,0.0,0.0,60.0,0.0,60.0
41,5,20.0,0.0,0.0,60.0,0.0,60.0
41,6,20.0,0.0,0.0,60.0,0.0,60.0
41,7,20.0,0.0,0.0,60.0,0.0,60.0
41,8,20.0,0.0,0.0,60.0,0.0,60.0
41,9,20.0,0.0,0.0,60.0,0.0,60.0
41,10,10.0,0.0,0.0,30.0,10.0,30.0
42,1,10.0,0.0,0.0,30.0,10.0,30.0
42,2,10.0,0.0,0.0,30.0,10.0,30.0
42,3,20.0,0.0,0.0,60.0,0.0,60.0
42,4,10.0,0.0,0.0,30.0,10.0,30.0
42,5,15.0,0.0,0.0,45.0,5.0,45.0
42,6,15.0,0.0,0.0,45.0,5.0,45.0
42,7,15.0,0.0,0.0,45.0,5.0,45.0
42,8,15.0,0.0,0.0,45.0,5.0,45.0
42,9,5.0,0.0,0.0,15.0,15.0,15.0
42,10,10.0,0.0,0.0,30.0,10.0,30.0
43,1,5.0,0.0,0.0,15.0,15.0,15.0
43,2,15.0,0.0,0.0,45.0,5.0,45.0
43,3,20.0,0.0,0.0,60.0,0.0,60.0
43,4,20.0,0.0,0.0,60.0,0.0,60.0
43,5,20.0,0.0,0.0,60.0,0.0,60.0
43,6,15.0,0.0,0.0,45.0,5.0,45.0
43,7,15.0,0.0,0.0,45.0,5.0,45.0
43,8,10.0,0.0,0.0,30.0,10.0,30.0
43,9,0.0,0.0,0.0,0.0,20.0,0.0
43,10,0.0,0.0,0.0,0.0,20.0,0.0
44,1,15.0,0.0,0.0,45.0,5.0,45.0
44,2,10.0,0.0,0.0,30.0,10.0,30.0
44,3,20.0,0.0,0.0,60.0,0.0,60.0
44,4,20.0,0.0,0.0,60.0,0.0,60.0
44,5,15.0,0.0,0.0,45.0,5.0,45.0
44,6,20.0,0.0,0.0,60.0,0.0,60.0
44,7,15.0,0.0,0.0,45.0,5.0,45.0
44,8,15.0,0.0,0.0,45.0,5.0,45.0
44,9,5.0,0.0,0.0,15.0,15.0,15.0
44,10,0.0,0.0,0.0,0.0,20.0,0.0
45,1,15.0,0.5,22.5,45.0,27.5,22.5
45,2,20.0,0.0,0.0,60.0,0.0,60.0
45,3,20.0,0.5,30.0,60.0,30.0,30.0
45,4,20.0,0.0,0.0,60.0,0.0,60.0
45,5,20.0,0.0,0.0,60.0,0.0,60.0
45,6,20.0,0.0,0.0,60.0,0.0,60.0
45,7,20.0,0.0,0.0,60.0,0.0,60.0
45,8,20.0,0.0,0.0,60.0,0.0,60.0
45,9,20.0,0.0,0.0,60.0,0.0,60.0
45,10,20.0,0.0,0.0,60.0,0.0,60.0
46,1,20.0,0.0,0.0,60.0,0.0,60.0
46,2,5.0,0.0,0.0,15.0,15.0,15.0
46,3,0.0,0.0,0.0,0.0,20.0,0.0
46,4,0.0,0.0,0.0,0.0,20.0,0.0
46,5,0.0,0.0,0.0,0.0,20.0,0.0
46,6,0.0,0.0,0.0,0.0,20.0,0.0
46,7,0.0,0.0,0.0,0.0,20.0,0.0
46,8,0.0,0.0,0.0,0.0,20.0,0.0
46,9,0.0,0.0,0.0,0.0,20.0,0.0
46,10,0.0,0.0,0.0,0.0,20.0,0.0
47,1,5.0,0.0,0.0,15.0,15.0,15.0
47,2,0.0,0.0,0.0,0.0,20.0,0.0
47,3,5.0,0.0,0.0,15.0,15.0,15.0
47,4,0.0,0.0,0.0,0.0,20.0,0.0
47,5,0.0,0.5,0.0,0.0,20.0,0.0
47,6,5.0,0.0,0.0,15.0,15.0,15.0
47,7,10.0,0.0,0.0,30.0,10.0,30.0
47,8,0.0,0.0,0.0,0.0,20.0,0.0
47,9,0.0,0.0,0.0,0.0,20.0,0.0
47,10,0.0,0.5,0.0,0.0,20.0,0.0
48,1,5.0,0.0,0.0,15.0,15.0,15.0
48,2,15.0,1.0,45.0,45.0,50.0,0.0
48,3,20.0,0.0,0.0,60.0,0.0,60.0
48,4,15.0,0.0,0.0,45.0,5.0,45.0
48,5,15.0,0.0,0.0,45.0,5.0,45.0
48,6,20.0,0.0,0.0,60.0,0.0,60.0
48,7,20.0,0.0,0.0,60.0,0.0,60.0
48,8,20.0,0.0,0.0,60.0,0.0,60.0
48,9,20.0,0.0,0.0,60.0,0.0,60.0
48,10,20.0,0.0,0.0,60.0,0.0,60.0
49,1,5.0,0.0,0.0,15.0,15.0,15.0
49,2,10.0,0.0,0.0,30.0,10.0,30.0
49,3,15.0,0.0,0.0,45.0,5.0,45.0
